Start Time, Sun Jul 20 23:01:58 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 86.87522
Real Time (s), 86.922843
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
93, 70.30054825544357, 6
94, 71.05646812915802, 8
95, 71.81238800287247, 9
96, 72.56830787658691, 5
97, 73.32422775030136, 7
98, 74.08014762401581, 14
99, 74.83606749773026, 13
100, 75.5919873714447, 12
101, 76.34790724515915, 10
102, 77.1038271188736, 13
103, 77.85974699258804, 13
104, 78.61566686630249, 9
105, 79.37158674001694, 16
106, 80.12750661373138, 13
107, 80.88342648744583, 13
108, 81.63934636116028, 13
109, 82.39526623487473, 22
110, 83.15118610858917, 14
111, 83.90710598230362, 18
112, 84.66302585601807, 24
113, 85.41894572973251, 17
114, 86.17486560344696, 18
115, 86.93078547716141, 19
116, 87.68670535087585, 14
117, 88.4426252245903, 18
118, 89.19854509830475, 15
119, 89.9544649720192, 17
120, 90.71038484573364, 13
121, 91.46630471944809, 13
122, 92.22222459316254, 16
123, 92.97814446687698, 14
124, 93.73406434059143, 13
125, 94.48998421430588, 16
126, 95.24590408802032, 10
127, 96.00182396173477, 14
128, 96.75774383544922, 13
129, 97.51366370916367, 10
130, 98.26958358287811, 16
131, 99.02550345659256, 10
132, 99.781423330307, 11
133, 100.53734320402145, 10
134, 101.2932630777359, 12
135, 102.04918295145035, 6
136, 102.8051028251648, 8
137, 103.56102269887924, 12
138, 104.31694257259369, 14
139, 105.07286244630814, 12
140, 105.82878232002258, 19
141, 106.58470219373703, 18
142, 107.34062206745148, 9
143, 108.09654194116592, 12
144, 108.85246181488037, 14
145, 109.60838168859482, 9
146, 110.36430156230927, 10
147, 111.12022143602371, 9
148, 111.87614130973816, 11
149, 112.6320611834526, 20
150, 113.38798105716705, 15
151, 114.1439009308815, 13
152, 114.89982080459595, 15
153, 115.6557406783104, 9
154, 116.41166055202484, 12
155, 117.16758042573929, 20
156, 117.92350029945374, 12
157, 118.67942017316818, 14
158, 119.43534004688263, 18
159, 120.19125992059708, 11
160, 120.94717979431152, 17
161, 121.70309966802597, 11
162, 122.45901954174042, 13
163, 123.21493941545486, 18
164, 123.97085928916931, 14
165, 124.72677916288376, 10
166, 125.4826990365982, 14
167, 126.23861891031265, 7
168, 126.9945387840271, 14
169, 127.75045865774155, 15
170, 128.506378531456, 7
171, 129.26229840517044, 12
172, 130.0182182788849, 9
173, 130.77413815259933, 8
174, 131.53005802631378, 15
175, 132.28597790002823, 10
176, 133.04189777374268, 15
177, 133.79781764745712, 18
178, 134.55373752117157, 18
179, 135.30965739488602, 14
180, 136.06557726860046, 17
181, 136.8214971423149, 8
182, 137.57741701602936, 20
183, 138.3333368897438, 13
184, 139.08925676345825, 17
185, 139.8451766371727, 20
186, 140.60109651088715, 19
187, 141.3570163846016, 17
188, 142.11293625831604, 18
189, 142.8688561320305, 12
190, 143.62477600574493, 15
191, 144.38069587945938, 15
192, 145.13661575317383, 11
193, 145.89253562688828, 25
194, 146.64845550060272, 16
195, 147.40437537431717, 21
196, 148.16029524803162, 16
197, 148.91621512174606, 19
198, 149.6721349954605, 21
199, 150.42805486917496, 16
200, 151.1839747428894, 19
201, 151.93989461660385, 15
202, 152.6958144903183, 10
203, 153.45173436403275, 11
204, 154.2076542377472, 17
205, 154.96357411146164, 11
206, 155.7194939851761, 14
207, 156.47541385889053, 21
208, 157.23133373260498, 19
209, 157.98725360631943, 13
210, 158.74317348003387, 19
211, 159.49909335374832, 18
212, 160.25501322746277, 13
213, 161.01093310117722, 9
214, 161.76685297489166, 10
215, 162.5227728486061, 9
216, 163.27869272232056, 20
217, 164.034612596035, 16
218, 164.79053246974945, 8
219, 165.5464523434639, 10
220, 166.30237221717834, 13
221, 167.0582920908928, 18
222, 167.81421196460724, 11
223, 168.5701318383217, 17
224, 169.32605171203613, 21
225, 170.08197158575058, 11
226, 170.83789145946503, 16
227, 171.59381133317947, 19
228, 172.34973120689392, 13
229, 173.10565108060837, 12
230, 173.86157095432281, 12
231, 174.61749082803726, 10
232, 175.3734107017517, 9
233, 176.12933057546616, 13
234, 176.8852504491806, 12
235, 177.64117032289505, 7
236, 178.3970901966095, 14
237, 179.15301007032394, 14
238, 179.9089299440384, 12
239, 180.66484981775284, 13
240, 181.42076969146729, 15
241, 182.17668956518173, 10
242, 182.93260943889618, 17
243, 183.68852931261063, 19
244, 184.44444918632507, 7
245, 185.20036906003952, 10
246, 185.95628893375397, 11
247, 186.71220880746841, 14
248, 187.46812868118286, 15
249, 188.2240485548973, 11
250, 188.97996842861176, 12
251, 189.7358883023262, 15
252, 190.49180817604065, 16
253, 191.2477280497551, 12
254, 192.00364792346954, 9
255, 192.759567797184, 16
256, 193.51548767089844, 11
257, 194.27140754461288, 9
258, 195.02732741832733, 10
259, 195.78324729204178, 11
260, 196.53916716575623, 14
261, 197.29508703947067, 17
262, 198.05100691318512, 11
263, 198.80692678689957, 11
264, 199.562846660614, 9
265, 200.31876653432846, 7
266, 201.0746864080429, 11
267, 201.83060628175735, 14
268, 202.5865261554718, 12
269, 203.34244602918625, 7
270, 204.0983659029007, 9
271, 204.85428577661514, 16
272, 205.6102056503296, 11
273, 206.36612552404404, 16
274, 207.12204539775848, 14
275, 207.87796527147293, 11
276, 208.63388514518738, 11
277, 209.38980501890182, 6
278, 210.14572489261627, 7
279, 210.90164476633072, 11
280, 211.65756464004517, 10
281, 212.4134845137596, 9
282, 213.16940438747406, 14
283, 213.9253242611885, 9
284, 214.68124413490295, 11
285, 215.4371640086174, 3
286, 216.19308388233185, 11
287, 216.9490037560463, 7
288, 217.70492362976074, 8
289, 218.4608435034752, 18
290, 219.21676337718964, 14
291, 219.97268325090408, 10
292, 220.72860312461853, 10
293, 221.48452299833298, 12
294, 222.24044287204742, 16
295, 222.99636274576187, 12
296, 223.75228261947632, 8
297, 224.50820249319077, 11
298, 225.2641223669052, 13
299, 226.02004224061966, 9
300, 226.7759621143341, 8
301, 227.53188198804855, 13
302, 228.287801861763, 16
303, 229.04372173547745, 14
304, 229.7996416091919, 10
305, 230.55556148290634, 14
306, 231.3114813566208, 15
307, 232.06740123033524, 21
308, 232.82332110404968, 10
309, 233.57924097776413, 15
310, 234.33516085147858, 12
311, 235.09108072519302, 18
312, 235.84700059890747, 16
313, 236.60292047262192, 13
314, 237.35884034633636, 14
315, 238.1147602200508, 12
316, 238.87068009376526, 15
317, 239.6265999674797, 21
318, 240.38251984119415, 22
319, 241.1384397149086, 21
320, 241.89435958862305, 20
321, 242.6502794623375, 20
322, 243.40619933605194, 21
323, 244.1621192097664, 18
324, 244.91803908348083, 25
325, 245.67395895719528, 25
326, 246.42987883090973, 21
327, 247.18579870462418, 30
328, 247.94171857833862, 31
329, 248.69763845205307, 29
330, 249.45355832576752, 33
331, 250.20947819948196, 31
332, 250.9653980731964, 29
333, 251.72131794691086, 29
334, 252.4772378206253, 29
335, 253.23315769433975, 27
336, 253.9890775680542, 38
337, 254.74499744176865, 34
338, 255.5009173154831, 37
339, 256.25683718919754, 32
340, 257.012757062912, 29
341, 257.76867693662643, 24
342, 258.5245968103409, 25
343, 259.2805166840553, 33
344, 260.0364365577698, 35
345, 260.7923564314842, 34
346, 261.54827630519867, 27
347, 262.3041961789131, 37
348, 263.06011605262756, 37
349, 263.816035926342, 38
350, 264.57195580005646, 31
351, 265.3278756737709, 35
352, 266.08379554748535, 37
353, 266.8397154211998, 32
354, 267.59563529491425, 31
355, 268.3515551686287, 21
356, 269.10747504234314, 26
357, 269.8633949160576, 16
358, 270.61931478977203, 22
359, 271.3752346634865, 26
360, 272.1311545372009, 23
361, 272.8870744109154, 18
362, 273.6429942846298, 21
363, 274.39891415834427, 19
364, 275.1548340320587, 15
365, 275.91075390577316, 25
366, 276.6666737794876, 14
367, 277.42259365320206, 20
368, 278.1785135269165, 14
369, 278.93443340063095, 13
370, 279.6903532743454, 13
371, 280.44627314805984, 9
372, 281.2021930217743, 11
373, 281.95811289548874, 14
374, 282.7140327692032, 10
375, 283.46995264291763, 5
376, 284.2258725166321, 7
377, 284.9817923903465, 6
378, 285.737712264061, 9
379, 286.4936321377754, 5
380, 287.24955201148987, 12
381, 288.0054718852043, 7
382, 288.76139175891876, 4
383, 289.5173116326332, 5
384, 290.27323150634766, 7
385, 291.0291513800621, 8
386, 291.78507125377655, 8
387, 292.540991127491, 2
388, 293.29691100120544, 5
389, 294.0528308749199, 5
390, 294.80875074863434, 8
391, 295.5646706223488, 4
392, 296.32059049606323, 4
393, 297.0765103697777, 4
394, 297.8324302434921, 5
395, 298.5883501172066, 4
396, 299.344269990921, 4
397, 300.10018986463547, 2
398, 300.8561097383499, 4
399, 301.61202961206436, 3
400, 302.3679494857788, 5
401, 303.12386935949326, 10
402, 303.8797892332077, 6
403, 304.63570910692215, 9
404, 305.3916289806366, 4
