1.08e-18,5.e-20,0.0003992,2.e-6,7.12,0.0004073,0.00001,3.653,269.5,0.5,294.15,102200,"C"
4.58e-19,2.12e-20,0.0005422,2.e-6,21.6,0.0004561,0.00001,5.519,269.5,0.5,294.15,102200,"C"
2.68e-18,1.18e-19,0.0004111,2.e-6,4.003,0.0006219,0.00001,3.173,270.2,0.5,294.15,102200,"C"
1.12e-18,5.23e-20,0.0004084,2.e-6,7.173,0.0003888,0.00001,3.36,270.2,0.5,294.15,102200,"C"
2.18e-18,9.76e-20,0.0004091,2.e-6,3.988,0.000461,0.00001,3.2,270.2,0.5,294.15,102200,"C"
1.88e-19,1.08e-20,0.0001474,2.e-6,15.98,0.00025,0.00001,3.84,270.2,0.5,294.15,102200,"C"
1.16e-18,5.1e-20,0.0003306,2.e-6,15.04,0.0008261,0.00001,3.253,270.2,0.5,294.15,102200,"C"
1.5e-18,6.74e-20,0.0007721,2.e-6,12.12,0.0005026,0.00001,3.333,270.2,0.5,294.15,102200,"C"
5.78e-19,2.66e-20,0.0002995,2.e-6,15.14,0.0005255,0.00001,4.04,270.2,0.5,294.15,102200,"C"
9.95e-19,4.56e-20,0.0004682,2.e-6,12.95,0.0004993,0.00001,3.266,270.2,0.5,294.15,102200,"C"
3.28e-19,1.52e-20,0.000429,2.e-6,13.96,0.0003682,0.00001,8.653,270.2,0.5,294.15,102200,"C"
1.07e-18,4.95e-20,0.0008899,2.e-6,9.199,0.0002088,0.00001,5.293,270.2,0.5,294.15,102200,"C"
7.73e-19,3.65e-20,0.0003672,2.e-6,12,0.0004239,0.00001,3.24,271.1,0.5,294.15,102200,"C"
8.58e-19,3.92e-20,0.0002411,2.e-6,11.01,0.0005747,0.00001,3.08,271.1,0.5,294.15,102200,"C"
8.15e-19,3.84e-20,0.0004315,2.e-6,13.27,0.0004223,0.00001,3.186,271.1,0.5,294.15,102200,"C"
3.26e-18,1.41e-19,0.001085,2.e-6,11.16,0.000851,0.00001,3.12,271.1,0.5,294.15,102200,"C"
1.07e-18,4.82e-20,0.0004016,2.e-6,12.83,0.0006166,0.00001,3.306,271.1,0.5,294.15,102200,"C"
4.61e-19,2.15e-20,0.0004165,2.e-6,11.37,0.0003645,0.00001,6.493,271.1,0.5,294.15,102200,"C"
7.93e-19,3.59e-20,0.0002728,2.e-6,16.12,0.0006259,0.00001,3.106,271.1,0.5,294.15,102200,"C"
1.17e-18,5.14e-20,0.0003136,2.e-6,15.9,0.0009125,0.00001,3.307,271.1,0.5,294.15,102200,"C"
1.58e-18,6.97e-20,0.0004556,2.e-6,11.15,0.0007222,0.00001,3.054,271.1,0.5,294.15,102200,"C"
6.21e-19,2.82e-20,0.000161,2.e-6,17.61,0.0006647,0.00001,2.987,271.1,0.5,294.15,102200,"C"
9.99e-19,4.56e-20,0.0003967,2.e-6,11.24,0.0005182,0.00001,3.294,271.2,0.5,294.15,102200,"C"
8.83e-19,4.09e-20,0.0004207,2.e-6,12.88,0.000472,0.00001,3.253,271.2,0.5,294.15,102200,"C"
8.98e-19,4.03e-20,0.0005599,2.e-6,13.06,0.0005399,0.00001,4.626,271.2,0.5,294.15,102200,"C"
